Source,Target,Weight
Lisa Hough-Stewart,Amanda Janoo,1
Lisa Hough-Stewart,Isabel Nuesse,1
Lisa Hough-Stewart,Katherine Trebeck,2
Lisa Hough-Stewart,Michael Weatherhead,1
Lisa Hough-Stewart,Yannick Beaudoin,1
Lisa Hough-Stewart,Sarah Deas,2
Lisa Hough-Stewart,Stewart Wallis,2
Lisa Hough-Stewart,Ayabonga Cawe,2
Lisa Hough-Stewart,Christian Felber,1
Lisa Hough-Stewart,David Korten,1
Lisa Hough-Stewart,Jason Hickel,1
Lisa Hough-Stewart,Kate Pickett,1
Lisa Hough-Stewart,Kate Raworth,2
Lisa Hough-Stewart,Kristin Vala Ragnarsdottir,1
Lisa Hough-Stewart,Lebohang Liepollo Pheko,1
Lisa Hough-Stewart,Neva Goodwin,1
Lisa Hough-Stewart,Pedro Tarak,1
Lisa Hough-Stewart,Peter Blom,1
Lisa Hough-Stewart,Rajiv Joshi,2
Lisa Hough-Stewart,Richard Wilkinson,1
Lisa Hough-Stewart,Robert Costanza,1
Lisa Hough-Stewart,Sandrine Dixson-Decleve,1
Lisa Hough-Stewart,Sharan Burrow,1
Lisa Hough-Stewart,Tim Jackson,1
Lisa Hough-Stewart,Doreen Grove,1
Lisa Hough-Stewart,Paul Dalziel,1
Lisa Hough-Stewart,Suzy Morrissey,1
Lisa Hough-Stewart,Jakob Hafele,1
Lisa Hough-Stewart,﻿Andrew Turner,1
Lisa Hough-Stewart,﻿Robert Pollock,1
Lisa Hough-Stewart,﻿Katie Gallogly-Swan,2
Lisa Hough-Stewart,﻿Eduard Müller,1
Lisa Hough-Stewart,﻿João Bernardo Casali,1
Lisa Hough-Stewart,﻿Matthew Burke,1
Lisa Hough-Stewart,﻿Luca Coscieme,1
Lisa Hough-Stewart,Michelle Maloney,1
Lisa Hough-Stewart,﻿Jacqueline Mcglade,1
Lisa Hough-Stewart,﻿Claire Sommer,1
Lisa Hough-Stewart,Christopher Boyce,1
Lisa Hough-Stewart,Miriam Brett,1
Lisa Hough-Stewart,Wendy Ellyatt,1
Lisa Hough-Stewart,Duncan Fisher,1
Lisa Hough-Stewart,Lorenzo Fioramonte,1
Lisa Hough-Stewart,Rutger Hoekstra,1
Lisa Hough-Stewart,Giorgia Dalla Libera Marchiori,1
Lisa Hough-Stewart,Alessandro Galli,1
Lisa Hough-Stewart,Frances Moore Lappé,1
Lisa Hough-Stewart,Beth Stratford,1
Lisa Hough-Stewart,Caroline Lucas,1
Lisa Hough-Stewart,Erinch Sahan,1
Lisa Hough-Stewart,Michael Shinwell,1
Lisa Hough-Stewart,Griffin Carpenter,1
Lisa Hough-Stewart,Irene Guijt,1
Lisa Hough-Stewart,Isabel Sebastian,1
Lisa Hough-Stewart,Jan Mayrhuofer,1
Lisa Hough-Stewart,Barbara SennholzWeinhardt,1
Lisa Hough-Stewart,Denisha Killoh,1
Amanda Janoo,Isabel Nuesse,1
Amanda Janoo,Katherine Trebeck,1
Amanda Janoo,Michael Weatherhead,1
Amanda Janoo,Yannick Beaudoin,1
Amanda Janoo,Sarah Deas,1
Amanda Janoo,Stewart Wallis,1
Amanda Janoo,Ayabonga Cawe,1
Amanda Janoo,Christian Felber,1
Amanda Janoo,David Korten,1
Amanda Janoo,Jason Hickel,2
Amanda Janoo,Kate Pickett,1
Amanda Janoo,Kate Raworth,2
Amanda Janoo,Kristin Vala Ragnarsdottir,1
Amanda Janoo,Lebohang Liepollo Pheko,1
Amanda Janoo,Neva Goodwin,1
Amanda Janoo,Pedro Tarak,2
Amanda Janoo,Peter Blom,1
Amanda Janoo,Rajiv Joshi,1
Amanda Janoo,Richard Wilkinson,1
Amanda Janoo,Robert Costanza,1
Amanda Janoo,Sandrine Dixson-Decleve,2
Amanda Janoo,Sharan Burrow,2
Amanda Janoo,Tim Jackson,1
Amanda Janoo,Doreen Grove,1
Amanda Janoo,Paul Dalziel,1
Amanda Janoo,Suzy Morrissey,1
Amanda Janoo,Jakob Hafele,2
Amanda Janoo,﻿Andrew Turner,1
Amanda Janoo,﻿Robert Pollock,1
Amanda Janoo,﻿Katie Gallogly-Swan,1
Amanda Janoo,﻿Eduard Müller,1
Amanda Janoo,﻿João Bernardo Casali,1
Amanda Janoo,﻿Naomi Bourne,1
Amanda Janoo,﻿Matthew Burke,1
Amanda Janoo,﻿Luca Coscieme,1
Amanda Janoo,Michelle Maloney,1
Amanda Janoo,﻿Jacqueline Mcglade,2
Amanda Janoo,﻿Claire Sommer,1
Amanda Janoo,Christopher Boyce,1
Amanda Janoo,Miriam Brett,1
Amanda Janoo,Luis Gallardo,1
Amanda Janoo,Wendy Ellyatt,1
Amanda Janoo,Duncan Fisher,1
Amanda Janoo,Philipp Neuerburg,2
Amanda Janoo,Ralph Thurm,1
Amanda Janoo,Lorenzo Fioramonte,2
Amanda Janoo,Rutger Hoekstra,2
Amanda Janoo,Enrico Giovannini,1
Amanda Janoo,Giorgia Dalla Libera Marchiori,1
Amanda Janoo,Alessandro Galli,1
Amanda Janoo,Jonathan Patz,1
Amanda Janoo,Debra Roberts,1
Amanda Janoo,Johan Rockström,1
Amanda Janoo,Juliet Schor,1
Amanda Janoo,Gus Speth,1
Amanda Janoo,Alvaro Umana,1
Amanda Janoo,Roberto De Vogli,1
Amanda Janoo,Lars Fogh Mortensen,1
Amanda Janoo,Beth Stratford,1
Amanda Janoo,Anders Wijkman,1
Amanda Janoo,﻿Danny Graham,1
Amanda Janoo,Michael Shinwell,1
Amanda Janoo,Griffin Carpenter,1
Amanda Janoo,Isabel Sebastian,1
Amanda Janoo,Denisha Killoh,1
Amanda Janoo,Hon Grant Robertson,1
Isabel Nuesse,Katherine Trebeck,1
Isabel Nuesse,Michael Weatherhead,1
Isabel Nuesse,Yannick Beaudoin,1
Isabel Nuesse,Sarah Deas,1
Isabel Nuesse,Stewart Wallis,1
Isabel Nuesse,Ayabonga Cawe,1
Isabel Nuesse,Christian Felber,1
Isabel Nuesse,David Korten,1
Isabel Nuesse,Jason Hickel,1
Isabel Nuesse,Kate Pickett,1
Isabel Nuesse,Kate Raworth,1
Isabel Nuesse,Kristin Vala Ragnarsdottir,1
Isabel Nuesse,Lebohang Liepollo Pheko,1
Isabel Nuesse,Neva Goodwin,1
Isabel Nuesse,Pedro Tarak,1
Isabel Nuesse,Peter Blom,1
Isabel Nuesse,Rajiv Joshi,1
Isabel Nuesse,Richard Wilkinson,1
Isabel Nuesse,Robert Costanza,1
Isabel Nuesse,Sandrine Dixson-Decleve,1
Isabel Nuesse,Sharan Burrow,1
Isabel Nuesse,Tim Jackson,1
Isabel Nuesse,Doreen Grove,1
Isabel Nuesse,Paul Dalziel,1
Isabel Nuesse,Suzy Morrissey,1
Isabel Nuesse,Jakob Hafele,1
Isabel Nuesse,﻿Andrew Turner,1
Isabel Nuesse,﻿Robert Pollock,1
Isabel Nuesse,﻿Katie Gallogly-Swan,1
Isabel Nuesse,﻿Eduard Müller,1
Isabel Nuesse,﻿João Bernardo Casali,1
Isabel Nuesse,﻿Matthew Burke,1
Isabel Nuesse,﻿Luca Coscieme,1
Isabel Nuesse,Michelle Maloney,1
Isabel Nuesse,﻿Jacqueline Mcglade,1
Isabel Nuesse,﻿Claire Sommer,1
Isabel Nuesse,Christopher Boyce,1
Isabel Nuesse,Miriam Brett,1
Isabel Nuesse,Wendy Ellyatt,1
Isabel Nuesse,Duncan Fisher,1
Isabel Nuesse,Lorenzo Fioramonte,1
Isabel Nuesse,Rutger Hoekstra,1
Isabel Nuesse,Giorgia Dalla Libera Marchiori,1
Isabel Nuesse,Alessandro Galli,1
Isabel Nuesse,Hunter Lovins,1
Isabel Nuesse,Beth Stratford,1
Isabel Nuesse,Michael Shinwell,1
Isabel Nuesse,Griffin Carpenter,1
Isabel Nuesse,Isabel Sebastian,1
Isabel Nuesse,Denisha Killoh,1
Katherine Trebeck,Michael Weatherhead,1
Katherine Trebeck,Yannick Beaudoin,2
Katherine Trebeck,Sarah Deas,2
Katherine Trebeck,Stewart Wallis,2
Katherine Trebeck,Ayabonga Cawe,2
Katherine Trebeck,Christian Felber,1
Katherine Trebeck,David Korten,1
Katherine Trebeck,Jason Hickel,1
Katherine Trebeck,Kate Pickett,3
Katherine Trebeck,Kate Raworth,2
Katherine Trebeck,Kristin Vala Ragnarsdottir,3
Katherine Trebeck,Lebohang Liepollo Pheko,1
Katherine Trebeck,Neva Goodwin,2
Katherine Trebeck,Pedro Tarak,1
Katherine Trebeck,Peter Blom,1
Katherine Trebeck,Rajiv Joshi,2
Katherine Trebeck,Richard Wilkinson,3
Katherine Trebeck,Robert Costanza,3
Katherine Trebeck,Sandrine Dixson-Decleve,1
Katherine Trebeck,Sharan Burrow,1
Katherine Trebeck,Tim Jackson,3
Katherine Trebeck,Doreen Grove,2
Katherine Trebeck,Paul Dalziel,1
Katherine Trebeck,Suzy Morrissey,1
Katherine Trebeck,Jakob Hafele,1
Katherine Trebeck,﻿Andrew Turner,1
Katherine Trebeck,﻿Robert Pollock,1
Katherine Trebeck,﻿Katie Gallogly-Swan,2
Katherine Trebeck,﻿Eduard Müller,1
Katherine Trebeck,﻿João Bernardo Casali,1
Katherine Trebeck,﻿Matthew Burke,1
Katherine Trebeck,﻿Geraldine Campbel,1
Katherine Trebeck,Juan Pedro Castro Baeza,1
Katherine Trebeck,﻿Luca Coscieme,1
Katherine Trebeck,﻿Michael Danson,2
Katherine Trebeck,﻿Natalie Hemmings,1
Katherine Trebeck,﻿Osbert Lancaster,2
Katherine Trebeck,Michelle Maloney,1
